sentences,business_id,review_id,sentence_id,sentiment
"unfortunately i had veal piccata and specifically asked about the sauce as i am gluten sensitive - she told me lemon juice, white wine and capers.",eU_713ec6fTGNO4BegRaww,jWNtpPEYfR5PDfYXkIVTug,7,negative
i am gluten intolerant and needed to have my meal gluten free.,eU_713ec6fTGNO4BegRaww,dF_nl5tFf6VDmfKheckZZA,0,neutral
"they had no more gluten free pasta, and the waitress was clueless as to what was gluten free.",eU_713ec6fTGNO4BegRaww,dF_nl5tFf6VDmfKheckZZA,1,negative
she brought out my meal..with chicken on top of a plate of spaghetti and told me it was gluten free.,eU_713ec6fTGNO4BegRaww,dF_nl5tFf6VDmfKheckZZA,3,negative
"i told her it was not gluten free, and she took it to the kitchen, removed the spaghetti, and brought the same piece of chicken back.",eU_713ec6fTGNO4BegRaww,dF_nl5tFf6VDmfKheckZZA,4,negative
i experienced an allergic reaction as a result of this contamination.,eU_713ec6fTGNO4BegRaww,dF_nl5tFf6VDmfKheckZZA,5,negative
another positive was that they offer gluten-free (rice) pasta.,eU_713ec6fTGNO4BegRaww,B3BZdFBwJFd-s3mVg8VT3Q,18,positive
my friend who had the gluten-free pasta thought it was done well and not overcooked.,eU_713ec6fTGNO4BegRaww,B3BZdFBwJFd-s3mVg8VT3Q,19,positive
my favorite back in the gluten-eating days was the jade red chicken and chile relleno plate.,cHdJXLlKNWixBXpDwEGb_A,dcBCUuo1sDw7lgW_323Ljw,2,neutral
"in fact, chino has a gluten free menu with about 8 entrees and a few sides available.",cHdJXLlKNWixBXpDwEGb_A,dcBCUuo1sDw7lgW_323Ljw,4,positive
i have been trying to replicate this cookie gluten free for years.,cHdJXLlKNWixBXpDwEGb_A,dcBCUuo1sDw7lgW_323Ljw,7,positive
it was so great that they had gluten free options (thank you for that).,y-Iw6dZflNix4BdwIyTNGA,RP7ExwTsxkQzLvM2nE-iNw,5,positive
only suggestion would be is getting gluten free pizza !!,qx6WhZ42eDKmBchZDax4dQ,gnSMHfwMYdSyln8TwHB2ug,1,positive
i have been a pierogies lover for over three decades and it is always a hunt to find a good source because i have so many allergies.,Mem13A3C202RzT53npn4NA,Yq1fTk3ejnnU4W8GePsM2w,0,neutral
the menu offers organic items and gluten free which i loved since i try to stick to a healthier diet while binge drinking in vegas haha.,d_L-rfS1vT3JMzgCUGtiow,H83Uszf7G7O0yncfZQazxA,7,positive
"the brunch consisted of small tapas style plates, such as (a gluten free yogurt parfait, bbq brisket sliders, tomatillo egg benedict, serrano ham waffle and more).",d_L-rfS1vT3JMzgCUGtiow,4v3Cv4ZjNHxbtP4HvjuDuA,3,positive
"was a little concerned about gluten cross contamination, so i had the caesar salad without croutons.",d_L-rfS1vT3JMzgCUGtiow,Kf_WK4_9CDzHR8JkNa7xHA,3,negative
it offers sustainable organic grass fed meats and fresh caught fish the offer many gluten-free-free vegan and vegetarian options.,d_L-rfS1vT3JMzgCUGtiow,P89JZ8wSud-Bfdx_qDHh2w,6,positive
this place is perfect for those of you who have special diets i need something healthy but delicious at the same time all you vegans and vegetarians gluten-free.,d_L-rfS1vT3JMzgCUGtiow,P89JZ8wSud-Bfdx_qDHh2w,7,positive
"as a vegan diner with food allergies, finding a place that goes above and beyond to accommodate diet restrictions is huge and border grill does just that!",d_L-rfS1vT3JMzgCUGtiow,9HyJp1iAklfYd-N20oOi0g,4,positive
almost everything in here is gluten free which made it very easy for my wife.,d_L-rfS1vT3JMzgCUGtiow,XbSkKfZ6Zohh9kqFs_bqdw,3,positive
"corn, peppers, onions, mushrooms......(i am allergic, so i didn't try her dish).",d_L-rfS1vT3JMzgCUGtiow,AIf_yTODpUbuebPeI_S0mQ,28,neutral
"gluten free options are clearly identified on the regular menu, along with a few items which can also be made g/f on request.",d_L-rfS1vT3JMzgCUGtiow,JzDgXL6e2kvdblJbqWQHdg,2,positive
"i have a gluten allergy and they waitress was very knowledgeable, the regular menu had the options noted with a ""gf"" next to it.",d_L-rfS1vT3JMzgCUGtiow,pPJajIYSnK7lwz8TNwfCwg,1,positive
a special request due to allergies was the one downfall.,d_L-rfS1vT3JMzgCUGtiow,ljfiSMy092PB-8VCTFnfoA,4,negative
the 4 star rating is mostly in regards to their inability to manage a simple one ingredient food allergy.,d_L-rfS1vT3JMzgCUGtiow,ljfiSMy092PB-8VCTFnfoA,7,negative
i have a lot of food allergies and she went above and beyond to make sure i had the best meals that fit my dietary restrictions.,d_L-rfS1vT3JMzgCUGtiow,FEvtNjq6f5qaXJ7jfBnZSg,2,positive
best of all there is gluten free pasta,Gyrez6K8f1AyR7dzW9fvAw,C4Xb1flN879NaRlGKh01ug,4,positive
still celiac friendly with gluten free pasta and sauces to die for.,Gyrez6K8f1AyR7dzW9fvAw,CXz-j-RdrjDUk3l2WU5nkA,0,positive
"what i loved about this restaurant was how accommodating it was, meaning they have vegetarian and gluten free options for almost all their dishes, which is pretty rare for any restaurant in the us.",Gyrez6K8f1AyR7dzW9fvAw,sVhiMjk9ni5t1nTHwk1O_Q,2,positive
they even have gluten free pasta options.,Gyrez6K8f1AyR7dzW9fvAw,3XhtInQGW3MV8oXYqFV9wA,5,neutral
i'm gluten free so my boyfriend and i stopped here because i was excited about their gluten free pasta options.,Gyrez6K8f1AyR7dzW9fvAw,IHXXhKCFUC0yIejrCLEUGQ,6,positive
they have gluten free pasta (for a $2 upgrade) and it was great.,Gyrez6K8f1AyR7dzW9fvAw,Ol_D_Y1enZvcWnXmyHBjbA,2,positive
"i spoke to the staff beforehand about my severe milk allergy and they seemed to completely understand; however, three bites into my plain spaghetti with marinara sauce, i started to have an anaphylactic reaction.",YSUcHqlKMPHHJ_cTrqtNrA,V-627xvPhnmA_Dv0ICsH0A,1,negative
delicious dinner with plenty of gluten free options for me.,N0apJkxIem2E8irTBRKnHw,ZQhRL24lSK008smp0Oeyrg,0,positive
the caeser salad chopped with chicken is good and they have delicious gluten free options and are able to accommodate whatever you need.,N0apJkxIem2E8irTBRKnHw,fa6KtbsnNtBHi95vPGlO6A,2,positive
"those with gluten allergies will happily enjoy wolfgang's gluten-free menu, and those looking for a quick bite to eat in a no-frills version of an ""upper scale"" dining spot should be satisfied with wolfgang puck bar & grill!",N0apJkxIem2E8irTBRKnHw,FOe4ujTxZF9Ra2-WrpQBzA,11,positive
"the staff was very nice and sensitive to my gluten allergy, so i would visit again if i stayed here.",N0apJkxIem2E8irTBRKnHw,-DSnDJJs8RG-32JN6KtWsA,7,positive
"i try to stay away from foods containing gluten, so there weren't much options for me to chose from as i didn't want to pay that much for a steak.",N0apJkxIem2E8irTBRKnHw,ozHzn7C6mVO7in8fmzbglw,4,negative
had a gluten free menu and food from it tasted amazing.,N0apJkxIem2E8irTBRKnHw,dGqhX7t5CUhIe_CkFzhIKQ,1,positive
one of my family members has a severe gluten allergy and has eaten the items they list as gluten free here many times without any contamination issues.,sMzNLdhJZGzYirIWt-fMAg,CJrg2fdOI-a_NX0TDdbpJw,4,positive
the tomato risotto is one of those gluten free items and it is soo cheesy and amazing... totally shareable portion too.,sMzNLdhJZGzYirIWt-fMAg,CJrg2fdOI-a_NX0TDdbpJw,5,positive
"my wife has an alcohol allergy, so there are only a few beers that she can tolerate.",sMzNLdhJZGzYirIWt-fMAg,uExY6kUGOiK5ckPyidskDw,3,neutral
"notes on food allergies: i have a ton of food allergies (wheat, soy, shellfish, eggs, apples, zucchini etc... the list goes on).",sMzNLdhJZGzYirIWt-fMAg,DbsPilzDmV7NzXnCywSHqw,15,neutral
actually had some decent choices for gluten free and it was excellent.,sMzNLdhJZGzYirIWt-fMAg,rfx3QQq9pMlBeyKHgUev2A,3,positive
"they will also work with any allergy, including gluten free.",sMzNLdhJZGzYirIWt-fMAg,zWfNlLXMVEoK7FVz2f-4iA,5,positive
"i've only been for drinks, so i can't rate the gluten friendliness --but i'm excited to go again.",sMzNLdhJZGzYirIWt-fMAg,j7MD2aRfO9y2yLccuE-JJQ,2,neutral
my dining companion and i each ordered spicy pork meatballs because they were gluten-free once our server clued us in to that fact.,sMzNLdhJZGzYirIWt-fMAg,7DOSqbS4kVcmDIyCgwZ92g,6,neutral
"however, the menu says it's the chicken meatballs that are gluten-free - poor execution of the menu.",sMzNLdhJZGzYirIWt-fMAg,7DOSqbS4kVcmDIyCgwZ92g,8,negative
"still, i'd order them again....and not just because it's the only one on the menu that's gluten-free.",sMzNLdhJZGzYirIWt-fMAg,7DOSqbS4kVcmDIyCgwZ92g,14,neutral
"i give it a 5 star review because on top of everything, this restaurant has excellent gluten free service.",sMzNLdhJZGzYirIWt-fMAg,27K-N1iRkelEwWmDKnym2A,3,positive
"i have celiac disease, and sometimes it's hard for me to eat out.",sMzNLdhJZGzYirIWt-fMAg,27K-N1iRkelEwWmDKnym2A,4,neutral
"each gluten free menu item is clearly marked, and they have a turkey parmesan meatball that is gluten free.",sMzNLdhJZGzYirIWt-fMAg,27K-N1iRkelEwWmDKnym2A,6,positive
i ended up ordering one turkey meatball over gluten free penne with the spinach almond pesto sauce.,sMzNLdhJZGzYirIWt-fMAg,27K-N1iRkelEwWmDKnym2A,8,neutral
"so gluten avoiders, just tell your server, and they will help you come up with something delicious and safe to eat!",sMzNLdhJZGzYirIWt-fMAg,27K-N1iRkelEwWmDKnym2A,11,positive
"my gluten-eating boyfriend had a grinder with the spicy pork meatballs, pork bolognese sauce, and smoked gouda cheese.",sMzNLdhJZGzYirIWt-fMAg,27K-N1iRkelEwWmDKnym2A,12,neutral
we also really appreciated the vegetarian and gluten free options.,sMzNLdhJZGzYirIWt-fMAg,WMDb5EGBaDD_qaT6zME-7Q,4,positive
they are not good at gluten free either.,IMLrj2klosTFvPRLv56cng,2QOkEbM0QV2_K-VK6juMCQ,3,negative
we told our server that we are both allergic to gluten.,IMLrj2klosTFvPRLv56cng,2QOkEbM0QV2_K-VK6juMCQ,12,neutral
"while our server said the dish was gluten free, i am pretty certain there was soy sauce in the dressing on the spinach (i only took one bite but my tummy does not feel so good today).",IMLrj2klosTFvPRLv56cng,2QOkEbM0QV2_K-VK6juMCQ,16,negative
"unfortunately, only one appetizer and one entree wasn't going to be problematic for my allergies.",IMLrj2klosTFvPRLv56cng,PjZ52rCnfMrYsSL94dzfqw,1,negative
sadly the two listed desserts didn't work with my allergy.,IMLrj2klosTFvPRLv56cng,PjZ52rCnfMrYsSL94dzfqw,12,negative
we came here because my boyfriend has a dairy allergy and a co-worker had told me they are great with accommodating allergies; he was correct.,IMLrj2klosTFvPRLv56cng,FFVYIrmS-5Rcis-kL0YKLA,2,positive
there are vegetarian options on the menu (if you can ignore the buffalo head on the wall) and i believe even a few gluten-free options as well.,m7ommfJFalI47UksyX04Iw,UoFxqWXBluvS4Q32spb8Lg,18,neutral
i am gluten intolerant.,ujHiaprwCQ5ewziu0Vi9rw,RFqanb9moN6Wm_ZTJPRPdA,2,neutral
"the chef came out of the kitchen and walked me around the entire buffet, and showed me every item that was gluten free, non cross contaminated, and even went to the back to provide me wh chicken soup prior to adding the noodles.",ujHiaprwCQ5ewziu0Vi9rw,RFqanb9moN6Wm_ZTJPRPdA,3,neutral
a fresh gluten free pizza was made for me as well in the back.,ujHiaprwCQ5ewziu0Vi9rw,RFqanb9moN6Wm_ZTJPRPdA,4,neutral
as vegetarians my girlfriend and i have previously greatly benefited from the chef counseling us on good gluten free and vegetarian options on the line.,ujHiaprwCQ5ewziu0Vi9rw,8OX4jg_org9hXn2ewrpZtA,1,positive
gluten free/sensitivity: nothing is labeled as gf.,ujHiaprwCQ5ewziu0Vi9rw,0gKPtou2CqxTYoskEsAMOA,17,negative
"i have only 3 criteria you need to meet when i go to a buffet: awesome seafood (i'm allergic, but it's important for everyone else around me to enjoy it) good mac & cheese bomb desserts  according to my cousins, the gigantic crab legs were pretty good.",ujHiaprwCQ5ewziu0Vi9rw,2BbdY2W8cdq_f1chqGNEKg,5,neutral
"but i am allergic to it, and i thought it was very inconsiderate for them to put it right next to strawberries.",ujHiaprwCQ5ewziu0Vi9rw,2BbdY2W8cdq_f1chqGNEKg,7,negative
"the food is great, even for picky eaters or those with nut allergies, and the people are really nice.",ujHiaprwCQ5ewziu0Vi9rw,oQj5KaZHmmO1j2OmyiTb4w,3,positive
it was refreshing to find sugar free and gluten free options as well as a variety of other decadent treats!,ujHiaprwCQ5ewziu0Vi9rw,Qo9aA8FE04OBKR5qY7cqyA,2,positive
which is saying a lot since it is a buffet after all and i am allergic to shell fish.,ujHiaprwCQ5ewziu0Vi9rw,l3HRcT22-vMuqrHdRoLoNQ,3,neutral
